,Date,Advances,Unchanged,Declines,Total,pct_Adv,pct_Unc,pct_Dec,MA20,MA60,MA200,pct_MA20,pct_MA60,pct_MA200,RSI>70,RSI<30,pct_RSI>70,pct_RSI<30,MACD>0,MACD>Signal,pct_MACD>0,pct_MACD>Signal,New_High_20d,New_High_60d,New_High_250d,New_Low_20d,New_Low_60d,New_Low_250d,pct_New_High_20d,pct_New_High_60d,pct_New_High_250d,pct_New_Low_20d,pct_New_Low_60d,pct_New_Low_250d
457,2021-10-15,38,33,49,120,31.666666666666668,27.5,40.833333333333336,71,70,87,59.166666666666664,58.333333333333336,72.5,3,2,2.5,1.6666666666666667,62,73,51.666666666666664,60.833333333333336,14,5,0,6,4,0,11.666666666666666,4.166666666666667,0.0,5.0,3.3333333333333335,0.0
458,2021-10-18,52,21,47,120,43.333333333333336,17.5,39.166666666666664,69,68,89,57.5,56.666666666666664,74.16666666666667,5,1,4.166666666666667,0.8333333333333334,63,84,52.5,70.0,15,4,1,4,1,0,12.5,3.3333333333333335,0.8333333333333334,3.3333333333333335,0.8333333333333334,0.0
459,2021-10-19,17,27,76,120,14.166666666666666,22.5,63.333333333333336,52,63,84,43.333333333333336,52.5,70.0,2,1,1.6666666666666667,0.8333333333333334,69,72,57.5,60.0,6,2,1,3,0,0,5.0,1.6666666666666667,0.8333333333333334,2.5,0.0,0.0
460,2021-10-20,60,35,25,120,50.0,29.166666666666668,20.833333333333332,67,71,85,55.833333333333336,59.166666666666664,70.83333333333333,2,1,1.6666666666666667,0.8333333333333334,66,74,55.0,61.666666666666664,8,1,0,4,0,0,6.666666666666667,0.8333333333333334,0.0,3.3333333333333335,0.0,0.0
461,2021-10-21,67,31,22,120,55.833333333333336,25.833333333333332,18.333333333333332,80,79,89,66.66666666666667,65.83333333333333,74.16666666666667,8,0,6.666666666666667,0.0,68,80,56.666666666666664,66.66666666666667,20,8,1,3,1,0,16.666666666666668,6.666666666666667,0.8333333333333334,2.5,0.8333333333333334,0.0
462,2021-10-25,22,27,71,120,18.333333333333332,22.5,59.166666666666664,70,75,88,58.333333333333336,62.5,73.33333333333333,3,0,2.5,0.0,70,74,58.333333333333336,61.666666666666664,12,5,4,3,0,0,10.0,4.166666666666667,3.3333333333333335,2.5,0.0,0.0
463,2021-10-26,36,35,49,120,30.0,29.166666666666668,40.833333333333336,69,74,89,57.5,61.666666666666664,74.16666666666667,3,1,2.5,0.8333333333333334,72,75,60.0,62.5,7,2,1,1,1,0,5.833333333333333,1.6666666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0
464,2021-10-27,31,32,57,120,25.833333333333332,26.666666666666668,47.5,67,70,87,55.833333333333336,58.333333333333336,72.5,2,1,1.6666666666666667,0.8333333333333334,76,74,63.333333333333336,61.666666666666664,11,5,3,4,0,0,9.166666666666666,4.166666666666667,2.5,3.3333333333333335,0.0,0.0
465,2021-10-28,26,36,58,120,21.666666666666668,30.0,48.333333333333336,59,71,86,49.166666666666664,59.166666666666664,71.66666666666667,2,2,1.6666666666666667,1.6666666666666667,70,67,58.333333333333336,55.833333333333336,9,1,1,7,1,0,7.5,0.8333333333333334,0.8333333333333334,5.833333333333333,0.8333333333333334,0.0
466,2021-10-29,45,30,45,120,37.5,25.0,37.5,59,66,87,49.166666666666664,55.0,72.5,5,4,4.166666666666667,3.3333333333333335,69,62,57.5,51.666666666666664,6,3,1,9,3,0,5.0,2.5,0.8333333333333334,7.5,2.5,0.0
467,2021-11-01,23,22,75,120,19.166666666666668,18.333333333333332,62.5,42,59,82,35.0,49.166666666666664,68.33333333333333,6,5,5.0,4.166666666666667,61,51,50.833333333333336,42.5,9,4,1,15,5,1,7.5,3.3333333333333335,0.8333333333333334,12.5,4.166666666666667,0.8333333333333334
468,2021-11-02,22,29,69,120,18.333333333333332,24.166666666666668,57.5,30,52,80,25.0,43.333333333333336,66.66666666666667,1,5,0.8333333333333334,4.166666666666667,57,39,47.5,32.5,5,3,1,29,7,1,4.166666666666667,2.5,0.8333333333333334,24.166666666666668,5.833333333333333,0.8333333333333334
469,2021-11-03,18,16,86,120,15.0,13.333333333333334,71.66666666666667,20,35,76,16.666666666666668,29.166666666666668,63.333333333333336,1,9,0.8333333333333334,7.5,48,26,40.0,21.666666666666668,2,1,0,29,6,1,1.6666666666666667,0.8333333333333334,0.0,24.166666666666668,5.0,0.8333333333333334
470,2021-11-04,82,18,20,120,68.33333333333333,15.0,16.666666666666668,34,46,77,28.333333333333332,38.333333333333336,64.16666666666667,0,4,0.0,3.3333333333333335,40,29,33.333333333333336,24.166666666666668,2,1,0,19,4,1,1.6666666666666667,0.8333333333333334,0.0,15.833333333333334,3.3333333333333335,0.8333333333333334
471,2021-11-05,38,32,50,120,31.666666666666668,26.666666666666668,41.666666666666664,36,45,77,30.0,37.5,64.16666666666667,2,5,1.6666666666666667,4.166666666666667,40,32,33.333333333333336,26.666666666666668,2,2,1,6,0,0,1.6666666666666667,1.6666666666666667,0.8333333333333334,5.0,0.0,0.0
472,2021-11-08,41,29,50,120,34.166666666666664,24.166666666666668,41.666666666666664,37,44,75,30.833333333333332,36.666666666666664,62.5,3,4,2.5,3.3333333333333335,40,31,33.333333333333336,25.833333333333332,4,2,1,9,1,0,3.3333333333333335,1.6666666666666667,0.8333333333333334,7.5,0.8333333333333334,0.0
473,2021-11-09,70,26,24,120,58.333333333333336,21.666666666666668,20.0,41,53,75,34.166666666666664,44.166666666666664,62.5,2,3,1.6666666666666667,2.5,43,39,35.833333333333336,32.5,7,3,2,5,2,1,5.833333333333333,2.5,1.6666666666666667,4.166666666666667,1.6666666666666667,0.8333333333333334
474,2021-11-10,59,32,29,120,49.166666666666664,26.666666666666668,24.166666666666668,46,53,82,38.333333333333336,44.166666666666664,68.33333333333333,3,3,2.5,2.5,45,44,37.5,36.666666666666664,7,4,2,6,3,1,5.833333333333333,3.3333333333333335,1.6666666666666667,5.0,2.5,0.8333333333333334
475,2021-11-11,47,19,54,120,39.166666666666664,15.833333333333334,45.0,55,58,80,45.833333333333336,48.333333333333336,66.66666666666667,3,3,2.5,2.5,48,49,40.0,40.833333333333336,9,3,2,3,2,0,7.5,2.5,1.6666666666666667,2.5,1.6666666666666667,0.0
